Date, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
1/3/2020,0,0,0,0
1/4/2020,0,0,0,0
1/5/2020,0,0,0,0
1/6/2020,0,0,0,0
1/7/2020,0,0,0,0
1/8/2020,0,0,0,0
1/9/2020,0,0,0,0
1/10/2020,0,0,0,0
1/11/2020,0,0,0,0
1/12/2020,0,0,0,0
1/13/2020,0,0,0,0
1/14/2020,0,0,0,0
1/15/2020,0,0,0,0
1/16/2020,0,0,0,0
1/17/2020,0,0,0,0
1/18/2020,0,0,0,0
1/19/2020,0,0,0,0
1/20/2020,0,0,0,0
1/21/2020,0,0,0,0
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,5,5,0,0
1/31/2020,0,5,0,0
2/1/2020,0,5,0,0
2/2/2020,1,6,0,0
2/3/2020,1,7,0,0
2/4/2020,0,7,0,0
2/5/2020,0,7,0,0
2/6/2020,0,7,0,0
2/7/2020,0,7,0,0
2/8/2020,0,7,0,0
2/9/2020,0,7,0,0
2/10/2020,0,7,0,0
2/11/2020,0,7,0,0
2/12/2020,0,7,0,0
2/13/2020,0,7,0,0
2/14/2020,0,7,0,0
2/15/2020,0,7,0,0
2/16/2020,0,7,0,0
2/17/2020,0,7,0,0
2/18/2020,0,7,0,0
2/19/2020,0,7,0,0
2/20/2020,0,7,0,0
2/21/2020,0,7,0,0
2/22/2020,0,7,0,0
2/23/2020,0,7,0,0
2/24/2020,0,7,0,0
2/25/2020,0,7,0,0
2/26/2020,0,7,0,0
2/27/2020,0,7,0,0
2/28/2020,0,7,0,0
2/29/2020,0,7,0,0
3/1/2020,0,7,0,0
3/2/2020,2,9,0,0
3/3/2020,0,9,0,0
3/4/2020,22,31,0,0
3/5/2020,2,33,0,0
3/6/2020,2,35,0,0
3/7/2020,3,38,0,0
3/8/2020,5,43,0,0
3/9/2020,5,48,0,0
3/10/2020,6,54,0,0
3/11/2020,10,64,0,0
3/12/2020,14,78,0,0
3/13/2020,7,85,1,1
3/14/2020,3,88,1,2
3/15/2020,23,111,0,2
3/16/2020,7,118,0,2
3/17/2020,23,141,1,3
3/18/2020,14,155,0,3
3/19/2020,40,195,1,4
3/20/2020,0,195,0,4
3/21/2020,88,283,0,4
3/22/2020,58,341,1,5
3/23/2020,93,434,4,9
3/24/2020,85,519,0,9
3/25/2020,87,606,1,10
3/26/2020,43,649,3,13
3/27/2020,75,724,4,17
3/28/2020,0,724,0,17
3/29/2020,255,979,8,25
3/30/2020,92,1071,4,29
3/31/2020,180,1251,3,32
4/1/2020,385,1636,6,38
4/2/2020,329,1965,12,50
4/3/2020,336,2301,6,56
4/4/2020,601,2902,12,68
4/5/2020,472,3374,9,77
4/6/2020,693,4067,32,109
4/7/2020,354,4421,5,114
4/8/2020,853,5274,35,149
4/9/2020,591,5865,20,169
4/10/2020,547,6412,30,199
4/11/2020,1035,7447,40,239
4/12/2020,909,8356,34,273
4/13/2020,796,9152,35,308
4/14/2020,1211,10363,31,339
4/15/2020,1076,11439,38,377
4/16/2020,941,12380,37,414
4/17/2020,1007,13387,23,437
4/18/2020,991,14378,43,480
4/19/2020,1334,15712,27,507
4/20/2020,1553,17265,36,543
4/21/2020,1336,18601,47,590
4/22/2020,1383,19984,50,640
4/23/2020,1409,21393,41,681
4/24/2020,1684,23077,37,718
4/25/2020,1429,24506,57,775
4/26/2020,1990,26496,49,824
4/27/2020,1396,27892,48,872
4/28/2020,1543,29435,62,934
